OLE_CRCL_DSK_LOCN_ID,OLE_CRCL_DSK_ID,OLE_CRCL_DSK_LOCN,OLE_CRCL_PICKUP_DSK_LOCN
1904,14,605,DUKE/PERKINS/PKE
1905,16,605,DUKE/PERKINS/PKE
1906,17,605,DUKE/PERKINS/PKE
1907,18,605,DUKE/PERKINS/PKE
1908,19,605,DUKE/PERKINS/PKE
1909,20,605,DUKE/PERKINS/PKE
1910,21,605,DUKE/PERKINS/PKE
1911,22,605,DUKE/PERKINS/PKE
1912,23,605,DUKE/PERKINS/PKE
1913,24,605,DUKE/PERKINS/PKE
1914,2,609,DUKE/PERKINS/PKEF
1915,3,609,DUKE/PERKINS/PKEF
1916,4,609,DUKE/PERKINS/PKEF
1917,5,609,DUKE/PERKINS/PKEF
1918,6,609,DUKE/PERKINS/PKEF
1919,8,609,DUKE/PERKINS/PKEF
1920,9,609,DUKE/PERKINS/PKEF
1921,10,609,DUKE/PERKINS/PKEF
1922,12,609,DUKE/PERKINS/PKEF
1923,15,609,DUKE/PERKINS/PKEF
1924,14,609,DUKE/PERKINS/PKEF
1925,16,609,DUKE/PERKINS/PKEF
1926,17,609,DUKE/PERKINS/PKEF
1927,18,609,DUKE/PERKINS/PKEF
1928,19,609,DUKE/PERKINS/PKEF
1929,20,609,DUKE/PERKINS/PKEF
1930,21,609,DUKE/PERKINS/PKEF
1931,22,609,DUKE/PERKINS/PKEF
1932,23,609,DUKE/PERKINS/PKEF
1933,24,609,DUKE/PERKINS/PKEF
1934,2,615,DUKE/PERKINS/PKEQ
1935,3,615,DUKE/PERKINS/PKEQ
1936,4,615,DUKE/PERKINS/PKEQ
1937,5,615,DUKE/PERKINS/PKEQ
1938,6,615,DUKE/PERKINS/PKEQ
1939,8,615,DUKE/PERKINS/PKEQ
1940,9,615,DUKE/PERKINS/PKEQ
1941,10,615,DUKE/PERKINS/PKEQ
1942,12,615,DUKE/PERKINS/PKEQ
1943,15,615,DUKE/PERKINS/PKEQ
1944,14,615,DUKE/PERKINS/PKEQ
1945,16,615,DUKE/PERKINS/PKEQ
1946,17,615,DUKE/PERKINS/PKEQ
1947,18,615,DUKE/PERKINS/PKEQ
1948,19,615,DUKE/PERKINS/PKEQ
1949,20,615,DUKE/PERKINS/PKEQ
1950,21,615,DUKE/PERKINS/PKEQ
1951,22,615,DUKE/PERKINS/PKEQ
1952,23,615,DUKE/PERKINS/PKEQ
1953,24,615,DUKE/PERKINS/PKEQ
